mapping_id,registry,source_snapshot,source_section,source_group,source_field,source_label,source_type,source_required,target_domain,target_entity,target_attribute,mapping_action,review_status
MAP-00630,HF,index (8).html,Visits,Beta-Blockers,V_Lopressor_Custom,Lopressor custom dose,text,No,Medication,medication_statement,lopressor_custom,Refactor,Medication review
MAP-00631,HF,index (8).html,Visits,Beta-Blockers,V_Lopressor_Freq,Lopressor frequency,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00632,HF,index (8).html,Visits,Beta-Blockers,V_Lopressor_Change,Lopressor change,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00633,HF,index (8).html,In-Hospital Admission,Medication: Beta-Blockers,A_Lopressor,Lopressor dose,text,No,Medication,medication_statement,lopressor,Refactor,Medication review
MAP-00634,HF,index (8).html,In-Hospital Admission,Medication: Beta-Blockers,A_Lopressor_Status,Lopressor Status,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00635,HF,index (8).html,In-Hospital Admission,Medication: Beta-Blockers,A_Lopressor_Custom,Lopressor Custom,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00636,HF,index (8).html,In-Hospital Admission,Medication: Beta-Blockers,A_Lopressor_Freq,Lopressor Freq,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00637,HF,index (8).html,In-Hospital Admission,Medication: Beta-Blockers,A_Lopressor_Change,Lopressor Change,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00638,HF,index (8).html,Visits,ACEi / ARB / ARNI,V_Zestril,Zestril dose,select,No,Medication,medication_statement,zestril,Refactor,Medication review
MAP-00639,HF,index (8).html,Visits,ACEi / ARB / ARNI,V_Zestril_Status,Zestril status,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00640,HF,index (8).html,Visits,ACEi / ARB / ARNI,V_Zestril_Custom,Zestril custom dose,text,No,Medication,medication_statement,zestril_custom,Refactor,Medication review
MAP-00641,HF,index (8).html,Visits,ACEi / ARB / ARNI,V_Zestril_Freq,Zestril frequency,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00642,HF,index (8).html,Visits,ACEi / ARB / ARNI,V_Zestril_Change,Zestril change,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00643,HF,index (8).html,In-Hospital Admission,Medication: ACEi / ARB / ARNI,A_Zestril,Zestril dose,text,No,Medication,medication_statement,zestril,Refactor,Medication review
MAP-00644,HF,index (8).html,In-Hospital Admission,Medication: ACEi / ARB / ARNI,A_Zestril_Status,Zestril Status,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00645,HF,index (8).html,In-Hospital Admission,Medication: ACEi / ARB / ARNI,A_Zestril_Custom,Zestril Custom,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00646,HF,index (8).html,In-Hospital Admission,Medication: ACEi / ARB / ARNI,A_Zestril_Freq,Zestril Freq,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00647,HF,index (8).html,In-Hospital Admission,Medication: ACEi / ARB / ARNI,A_Zestril_Change,Zestril Change,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00648,HF,index (8).html,Visits,ACEi / ARB / ARNI,V_Tritace,Tritace dose,select,No,Medication,medication_statement,tritace,Refactor,Medication review
MAP-00649,HF,index (8).html,Visits,ACEi / ARB / ARNI,V_Tritace_Status,Tritace status,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00650,HF,index (8).html,Visits,ACEi / ARB / ARNI,V_Tritace_Custom,Tritace custom dose,text,No,Medication,medication_statement,tritace_custom,Refactor,Medication review
MAP-00651,HF,index (8).html,Visits,ACEi / ARB / ARNI,V_Tritace_Freq,Tritace frequency,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00652,HF,index (8).html,Visits,ACEi / ARB / ARNI,V_Tritace_Change,Tritace change,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00653,HF,index (8).html,In-Hospital Admission,Medication: ACEi / ARB / ARNI,A_Tritace,Tritace dose,text,No,Medication,medication_statement,tritace,Refactor,Medication review
MAP-00654,HF,index (8).html,In-Hospital Admission,Medication: ACEi / ARB / ARNI,A_Tritace_Status,Tritace Status,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00655,HF,index (8).html,In-Hospital Admission,Medication: ACEi / ARB / ARNI,A_Tritace_Custom,Tritace Custom,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00656,HF,index (8).html,In-Hospital Admission,Medication: ACEi / ARB / ARNI,A_Tritace_Freq,Tritace Freq,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00657,HF,index (8).html,In-Hospital Admission,Medication: ACEi / ARB / ARNI,A_Tritace_Change,Tritace Change,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00658,HF,index (8).html,Visits,ACEi / ARB / ARNI,V_Capoten,Capoten dose,select,No,Medication,medication_statement,capoten,Refactor,Medication review
MAP-00659,HF,index (8).html,Visits,ACEi / ARB / ARNI,V_Capoten_Status,Capoten status,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00660,HF,index (8).html,Visits,ACEi / ARB / ARNI,V_Capoten_Custom,Capoten custom dose,text,No,Medication,medication_statement,capoten_custom,Refactor,Medication review
MAP-00661,HF,index (8).html,Visits,ACEi / ARB / ARNI,V_Capoten_Freq,Capoten frequency,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00662,HF,index (8).html,Visits,ACEi / ARB / ARNI,V_Capoten_Change,Capoten change,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00663,HF,index (8).html,In-Hospital Admission,Medication: ACEi / ARB / ARNI,A_Capoten,Capoten dose,text,No,Medication,medication_statement,capoten,Refactor,Medication review
MAP-00664,HF,index (8).html,In-Hospital Admission,Medication: ACEi / ARB / ARNI,A_Capoten_Status,Capoten Status,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00665,HF,index (8).html,In-Hospital Admission,Medication: ACEi / ARB / ARNI,A_Capoten_Custom,Capoten Custom,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00666,HF,index (8).html,In-Hospital Admission,Medication: ACEi / ARB / ARNI,A_Capoten_Freq,Capoten Freq,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00667,HF,index (8).html,In-Hospital Admission,Medication: ACEi / ARB / ARNI,A_Capoten_Change,Capoten Change,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00668,HF,index (8).html,Visits,ACEi / ARB / ARNI,V_Diovan,Diovan dose,select,No,Medication,medication_statement,diovan,Refactor,Medication review
MAP-00669,HF,index (8).html,Visits,ACEi / ARB / ARNI,V_Diovan_Status,Diovan status,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00670,HF,index (8).html,Visits,ACEi / ARB / ARNI,V_Diovan_Custom,Diovan custom dose,text,No,Medication,medication_statement,diovan_custom,Refactor,Medication review
MAP-00671,HF,index (8).html,Visits,ACEi / ARB / ARNI,V_Diovan_Freq,Diovan frequency,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00672,HF,index (8).html,Visits,ACEi / ARB / ARNI,V_Diovan_Change,Diovan change,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00673,HF,index (8).html,In-Hospital Admission,Medication: ACEi / ARB / ARNI,A_Diovan,Diovan dose,text,No,Medication,medication_statement,diovan,Refactor,Medication review
MAP-00674,HF,index (8).html,In-Hospital Admission,Medication: ACEi / ARB / ARNI,A_Diovan_Status,Diovan Status,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00675,HF,index (8).html,In-Hospital Admission,Medication: ACEi / ARB / ARNI,A_Diovan_Custom,Diovan Custom,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00676,HF,index (8).html,In-Hospital Admission,Medication: ACEi / ARB / ARNI,A_Diovan_Freq,Diovan Freq,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00677,HF,index (8).html,In-Hospital Admission,Medication: ACEi / ARB / ARNI,A_Diovan_Change,Diovan Change,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00678,HF,index (8).html,Visits,ACEi / ARB / ARNI,V_Atacand,Atacand dose,select,No,Medication,medication_statement,atacand,Refactor,Medication review
MAP-00679,HF,index (8).html,Visits,ACEi / ARB / ARNI,V_Atacand_Status,Atacand status,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00680,HF,index (8).html,Visits,ACEi / ARB / ARNI,V_Atacand_Custom,Atacand custom dose,text,No,Medication,medication_statement,atacand_custom,Refactor,Medication review
MAP-00681,HF,index (8).html,Visits,ACEi / ARB / ARNI,V_Atacand_Freq,Atacand frequency,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00682,HF,index (8).html,Visits,ACEi / ARB / ARNI,V_Atacand_Change,Atacand change,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00683,HF,index (8).html,In-Hospital Admission,Medication: ACEi / ARB / ARNI,A_Atacand,Atacand dose,text,No,Medication,medication_statement,atacand,Refactor,Medication review
MAP-00684,HF,index (8).html,In-Hospital Admission,Medication: ACEi / ARB / ARNI,A_Atacand_Status,Atacand Status,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00685,HF,index (8).html,In-Hospital Admission,Medication: ACEi / ARB / ARNI,A_Atacand_Custom,Atacand Custom,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00686,HF,index (8).html,In-Hospital Admission,Medication: ACEi / ARB / ARNI,A_Atacand_Freq,Atacand Freq,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00687,HF,index (8).html,In-Hospital Admission,Medication: ACEi / ARB / ARNI,A_Atacand_Change,Atacand Change,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00688,HF,index (8).html,Visits,ACEi / ARB / ARNI,V_Entresto,Entresto dose,select,No,Medication,medication_statement,entresto,Refactor,Medication review
MAP-00689,HF,index (8).html,Visits,ACEi / ARB / ARNI,V_Entresto_Status,Entresto status,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00690,HF,index (8).html,Visits,ACEi / ARB / ARNI,V_Entresto_Custom,Entresto custom dose,text,No,Medication,medication_statement,entresto_custom,Refactor,Medication review
MAP-00691,HF,index (8).html,Visits,ACEi / ARB / ARNI,V_Entresto_Freq,Entresto frequency,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00692,HF,index (8).html,Visits,ACEi / ARB / ARNI,V_Entresto_Change,Entresto change,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00693,HF,index (8).html,In-Hospital Admission,Medication: ACEi / ARB / ARNI,A_Entresto,Entresto dose,text,No,Medication,medication_statement,entresto,Refactor,Medication review
MAP-00694,HF,index (8).html,In-Hospital Admission,Medication: ACEi / ARB / ARNI,A_Entresto_Status,Entresto Status,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00695,HF,index (8).html,In-Hospital Admission,Medication: ACEi / ARB / ARNI,A_Entresto_Custom,Entresto Custom,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00696,HF,index (8).html,In-Hospital Admission,Medication: ACEi / ARB / ARNI,A_Entresto_Freq,Entresto Freq,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00697,HF,index (8).html,In-Hospital Admission,Medication: ACEi / ARB / ARNI,A_Entresto_Change,Entresto Change,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00698,HF,index (8).html,Visits,MRA,V_Aldactone,Aldactone dose,select,No,Medication,medication_statement,aldactone,Refactor,Medication review
MAP-00699,HF,index (8).html,Visits,MRA,V_Aldactone_Status,Aldactone status,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00700,HF,index (8).html,Visits,MRA,V_Aldactone_Custom,Aldactone custom dose,text,No,Medication,medication_statement,aldactone_custom,Refactor,Medication review
MAP-00701,HF,index (8).html,Visits,MRA,V_Aldactone_Freq,Aldactone frequency,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00702,HF,index (8).html,Visits,MRA,V_Aldactone_Change,Aldactone change,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00703,HF,index (8).html,In-Hospital Admission,Medication: MRA,A_Aldactone,Aldactone dose,text,No,Medication,medication_statement,aldactone,Refactor,Medication review
MAP-00704,HF,index (8).html,In-Hospital Admission,Medication: MRA,A_Aldactone_Status,Aldactone Status,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00705,HF,index (8).html,In-Hospital Admission,Medication: MRA,A_Aldactone_Custom,Aldactone Custom,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00706,HF,index (8).html,In-Hospital Admission,Medication: MRA,A_Aldactone_Freq,Aldactone Freq,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00707,HF,index (8).html,In-Hospital Admission,Medication: MRA,A_Aldactone_Change,Aldactone Change,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00708,HF,index (8).html,Visits,MRA,V_Eplerenone,Eplerenone dose,select,No,Medication,medication_statement,eplerenone,Refactor,Medication review
MAP-00709,HF,index (8).html,Visits,MRA,V_Eplerenone_Status,Eplerenone status,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00710,HF,index (8).html,Visits,MRA,V_Eplerenone_Custom,Eplerenone custom dose,text,No,Medication,medication_statement,eplerenone_custom,Refactor,Medication review
MAP-00711,HF,index (8).html,Visits,MRA,V_Eplerenone_Freq,Eplerenone frequency,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00712,HF,index (8).html,Visits,MRA,V_Eplerenone_Change,Eplerenone change,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00713,HF,index (8).html,In-Hospital Admission,Medication: MRA,A_Eplerenone,Eplerenone dose,text,No,Medication,medication_statement,eplerenone,Refactor,Medication review
MAP-00714,HF,index (8).html,In-Hospital Admission,Medication: MRA,A_Eplerenone_Status,Eplerenone Status,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00715,HF,index (8).html,In-Hospital Admission,Medication: MRA,A_Eplerenone_Custom,Eplerenone Custom,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00716,HF,index (8).html,In-Hospital Admission,Medication: MRA,A_Eplerenone_Freq,Eplerenone Freq,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00717,HF,index (8).html,In-Hospital Admission,Medication: MRA,A_Eplerenone_Change,Eplerenone Change,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00718,HF,index (8).html,Visits,MRA,V_Finerenone,Finerenone dose,select,No,Medication,medication_statement,finerenone,Refactor,Medication review
MAP-00719,HF,index (8).html,Visits,MRA,V_Finerenone_Status,Finerenone status,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00720,HF,index (8).html,Visits,MRA,V_Finerenone_Custom,Finerenone custom dose,text,No,Medication,medication_statement,finerenone_custom,Refactor,Medication review
MAP-00721,HF,index (8).html,Visits,MRA,V_Finerenone_Freq,Finerenone frequency,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00722,HF,index (8).html,Visits,MRA,V_Finerenone_Change,Finerenone change,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00723,HF,index (8).html,In-Hospital Admission,Medication: MRA,A_Finerenone,Finerenone dose,text,No,Medication,medication_statement,finerenone,Refactor,Medication review
MAP-00724,HF,index (8).html,In-Hospital Admission,Medication: MRA,A_Finerenone_Status,Finerenone Status,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00725,HF,index (8).html,In-Hospital Admission,Medication: MRA,A_Finerenone_Custom,Finerenone Custom,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00726,HF,index (8).html,In-Hospital Admission,Medication: MRA,A_Finerenone_Freq,Finerenone Freq,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00727,HF,index (8).html,In-Hospital Admission,Medication: MRA,A_Finerenone_Change,Finerenone Change,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00728,HF,index (8).html,Visits,SGLT2 Inhibitors,V_Forxiga,Forxiga dose,select,No,Medication,medication_statement,forxiga,Refactor,Medication review
MAP-00729,HF,index (8).html,Visits,SGLT2 Inhibitors,V_Forxiga_Status,Forxiga status,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00730,HF,index (8).html,Visits,SGLT2 Inhibitors,V_Forxiga_Custom,Forxiga custom dose,text,No,Medication,medication_statement,forxiga_custom,Refactor,Medication review
MAP-00731,HF,index (8).html,Visits,SGLT2 Inhibitors,V_Forxiga_Freq,Forxiga frequency,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00732,HF,index (8).html,Visits,SGLT2 Inhibitors,V_Forxiga_Change,Forxiga change,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00733,HF,index (8).html,In-Hospital Admission,Medication: SGLT2 Inhibitors,A_Forxiga,Forxiga dose,text,No,Medication,medication_statement,forxiga,Refactor,Medication review
MAP-00734,HF,index (8).html,In-Hospital Admission,Medication: SGLT2 Inhibitors,A_Forxiga_Status,Forxiga Status,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00735,HF,index (8).html,In-Hospital Admission,Medication: SGLT2 Inhibitors,A_Forxiga_Custom,Forxiga Custom,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00736,HF,index (8).html,In-Hospital Admission,Medication: SGLT2 Inhibitors,A_Forxiga_Freq,Forxiga Freq,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00737,HF,index (8).html,In-Hospital Admission,Medication: SGLT2 Inhibitors,A_Forxiga_Change,Forxiga Change,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00738,HF,index (8).html,Visits,SGLT2 Inhibitors,V_Jardiance,Jardiance dose,select,No,Medication,medication_statement,jardiance,Refactor,Medication review
MAP-00739,HF,index (8).html,Visits,SGLT2 Inhibitors,V_Jardiance_Status,Jardiance status,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00740,HF,index (8).html,Visits,SGLT2 Inhibitors,V_Jardiance_Custom,Jardiance custom dose,text,No,Medication,medication_statement,jardiance_custom,Refactor,Medication review
MAP-00741,HF,index (8).html,Visits,SGLT2 Inhibitors,V_Jardiance_Freq,Jardiance frequency,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00742,HF,index (8).html,Visits,SGLT2 Inhibitors,V_Jardiance_Change,Jardiance change,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00743,HF,index (8).html,In-Hospital Admission,Medication: SGLT2 Inhibitors,A_Jardiance,Jardiance dose,text,No,Medication,medication_statement,jardiance,Refactor,Medication review
MAP-00744,HF,index (8).html,In-Hospital Admission,Medication: SGLT2 Inhibitors,A_Jardiance_Status,Jardiance Status,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00745,HF,index (8).html,In-Hospital Admission,Medication: SGLT2 Inhibitors,A_Jardiance_Custom,Jardiance Custom,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00746,HF,index (8).html,In-Hospital Admission,Medication: SGLT2 Inhibitors,A_Jardiance_Freq,Jardiance Freq,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00747,HF,index (8).html,In-Hospital Admission,Medication: SGLT2 Inhibitors,A_Jardiance_Change,Jardiance Change,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00748,HF,index (8).html,Visits,SGLT2 Inhibitors,V_Xigduo,Xigduo XR dose,select,No,Medication,medication_statement,xigduo,Refactor,Medication review
MAP-00749,HF,index (8).html,Visits,SGLT2 Inhibitors,V_Xigduo_Status,Xigduo XR status,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00750,HF,index (8).html,Visits,SGLT2 Inhibitors,V_Xigduo_Custom,Xigduo XR custom dose,text,No,Medication,medication_statement,xigduo_custom,Refactor,Medication review
MAP-00751,HF,index (8).html,Visits,SGLT2 Inhibitors,V_Xigduo_Freq,Xigduo XR frequency,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00752,HF,index (8).html,Visits,SGLT2 Inhibitors,V_Xigduo_Change,Xigduo XR change,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00753,HF,index (8).html,In-Hospital Admission,Medication: SGLT2 Inhibitors,A_Xigduo,Xigduo XR dose,text,No,Medication,medication_statement,xigduo,Refactor,Medication review
MAP-00754,HF,index (8).html,In-Hospital Admission,Medication: SGLT2 Inhibitors,A_Xigduo_Status,Xigduo XR Status,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00755,HF,index (8).html,In-Hospital Admission,Medication: SGLT2 Inhibitors,A_Xigduo_Custom,Xigduo XR Custom,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00756,HF,index (8).html,In-Hospital Admission,Medication: SGLT2 Inhibitors,A_Xigduo_Freq,Xigduo XR Freq,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00757,HF,index (8).html,In-Hospital Admission,Medication: SGLT2 Inhibitors,A_Xigduo_Change,Xigduo XR Change,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00758,HF,index (8).html,Visits,SGLT2 Inhibitors,V_Synjardy,Synjardy dose,select,No,Medication,medication_statement,synjardy,Refactor,Medication review
MAP-00759,HF,index (8).html,Visits,SGLT2 Inhibitors,V_Synjardy_Status,Synjardy status,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00760,HF,index (8).html,Visits,SGLT2 Inhibitors,V_Synjardy_Custom,Synjardy custom dose,text,No,Medication,medication_statement,synjardy_custom,Refactor,Medication review
MAP-00761,HF,index (8).html,Visits,SGLT2 Inhibitors,V_Synjardy_Freq,Synjardy frequency,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00762,HF,index (8).html,Visits,SGLT2 Inhibitors,V_Synjardy_Change,Synjardy change,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00763,HF,index (8).html,In-Hospital Admission,Medication: SGLT2 Inhibitors,A_Synjardy,Synjardy dose,text,No,Medication,medication_statement,synjardy,Refactor,Medication review
MAP-00764,HF,index (8).html,In-Hospital Admission,Medication: SGLT2 Inhibitors,A_Synjardy_Status,Synjardy Status,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00765,HF,index (8).html,In-Hospital Admission,Medication: SGLT2 Inhibitors,A_Synjardy_Custom,Synjardy Custom,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00766,HF,index (8).html,In-Hospital Admission,Medication: SGLT2 Inhibitors,A_Synjardy_Freq,Synjardy Freq,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00767,HF,index (8).html,In-Hospital Admission,Medication: SGLT2 Inhibitors,A_Synjardy_Change,Synjardy Change,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00768,HF,index (8).html,Visits,Vasodilators / Rate Control,V_Hydralazine,Hydralazine dose,select,No,Medication,medication_statement,hydralazine,Refactor,Medication review
MAP-00769,HF,index (8).html,Visits,Vasodilators / Rate Control,V_Hydralazine_Status,Hydralazine status,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00770,HF,index (8).html,Visits,Vasodilators / Rate Control,V_Hydralazine_Custom,Hydralazine custom dose,text,No,Medication,medication_statement,hydralazine_custom,Refactor,Medication review
MAP-00771,HF,index (8).html,Visits,Vasodilators / Rate Control,V_Hydralazine_Freq,Hydralazine frequency,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00772,HF,index (8).html,Visits,Vasodilators / Rate Control,V_Hydralazine_Change,Hydralazine change,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00773,HF,index (8).html,In-Hospital Admission,Medication: Vasodilators / Rate Control,A_Hydralazine,Hydralazine dose,text,No,Medication,medication_statement,hydralazine,Refactor,Medication review
MAP-00774,HF,index (8).html,In-Hospital Admission,Medication: Vasodilators / Rate Control,A_Hydralazine_Status,Hydralazine Status,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00775,HF,index (8).html,In-Hospital Admission,Medication: Vasodilators / Rate Control,A_Hydralazine_Custom,Hydralazine Custom,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00776,HF,index (8).html,In-Hospital Admission,Medication: Vasodilators / Rate Control,A_Hydralazine_Freq,Hydralazine Freq,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00777,HF,index (8).html,In-Hospital Admission,Medication: Vasodilators / Rate Control,A_Hydralazine_Change,Hydralazine Change,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00778,HF,index (8).html,Visits,Vasodilators / Rate Control,V_Nitrates,Nitrates dose,select,No,Medication,medication_statement,nitrates,Refactor,Medication review
MAP-00779,HF,index (8).html,Visits,Vasodilators / Rate Control,V_Nitrates_Status,Nitrates status,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00780,HF,index (8).html,Visits,Vasodilators / Rate Control,V_Nitrates_Custom,Nitrates custom dose,text,No,Medication,medication_statement,nitrates_custom,Refactor,Medication review
MAP-00781,HF,index (8).html,Visits,Vasodilators / Rate Control,V_Nitrates_Freq,Nitrates frequency,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00782,HF,index (8).html,Visits,Vasodilators / Rate Control,V_Nitrates_Change,Nitrates change,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00783,HF,index (8).html,In-Hospital Admission,Medication: Vasodilators / Rate Control,A_Nitrates,Nitrates dose,text,No,Medication,medication_statement,nitrates,Refactor,Medication review
MAP-00784,HF,index (8).html,In-Hospital Admission,Medication: Vasodilators / Rate Control,A_Nitrates_Status,Nitrates Status,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00785,HF,index (8).html,In-Hospital Admission,Medication: Vasodilators / Rate Control,A_Nitrates_Custom,Nitrates Custom,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00786,HF,index (8).html,In-Hospital Admission,Medication: Vasodilators / Rate Control,A_Nitrates_Freq,Nitrates Freq,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00787,HF,index (8).html,In-Hospital Admission,Medication: Vasodilators / Rate Control,A_Nitrates_Change,Nitrates Change,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00788,HF,index (8).html,Visits,Vasodilators / Rate Control,V_Procorolan,Procorolan dose,select,No,Medication,medication_statement,procorolan,Refactor,Medication review
MAP-00789,HF,index (8).html,Visits,Vasodilators / Rate Control,V_Procorolan_Status,Procorolan status,select,No,Medication,medication_statement,procorolan_status,Refactor,Medication review
MAP-00790,HF,index (8).html,Visits,Vasodilators / Rate Control,V_Procorolan_Custom,Procorolan custom dose,text,No,Medication,medication_statement,procorolan_custom,Refactor,Medication review
MAP-00791,HF,index (8).html,Visits,Vasodilators / Rate Control,V_Procorolan_Freq,Procorolan frequency,text,No,Medication,medication_statement,procorolan_freq,Refactor,Medication review
MAP-00792,HF,index (8).html,Visits,Vasodilators / Rate Control,V_Procorolan_Change,Procorolan change,text,No,Medication,medication_statement,procorolan_change,Refactor,Medication review
MAP-00793,HF,index (8).html,In-Hospital Admission,Medication: Vasodilators / Rate Control,A_Procorolan,Procorolan dose,text,No,Medication,medication_statement,procorolan,Refactor,Medication review
MAP-00794,HF,index (8).html,In-Hospital Admission,Medication: Vasodilators / Rate Control,A_Procorolan_Status,Procorolan Status,select,No,Medication,medication_statement,procorolan_status,Refactor,Medication review
MAP-00795,HF,index (8).html,In-Hospital Admission,Medication: Vasodilators / Rate Control,A_Procorolan_Custom,Procorolan Custom,text,No,Medication,medication_statement,procorolan_custom,Refactor,Medication review
MAP-00796,HF,index (8).html,In-Hospital Admission,Medication: Vasodilators / Rate Control,A_Procorolan_Freq,Procorolan Freq,text,No,Medication,medication_statement,procorolan_freq,Refactor,Medication review
